Title,Source,SourceLevel,Deadline,Status,Score,MatchedKeywords,Url,Summary,FirstSeen,LastSeen
"EUDOROS - Cybersecurity open call","28Digital / EIT Digital","EU cascade funding / cybersecurity","2026-08-07","open",16,"28digital, cybersecurity, eudoros, eu-funded, grant, malta, serbia potential, sme, startup","https://eudoros.eu/open-call-2/","EU-funded opportunity listed by 28Digital for cybersecurity service providers and tool creators aiming to push mature products to market or increase early-stage market share. Listed funding range is EUR 20,000 to EUR 200,000, with application open until 7 August 2026. The official EUDOROS site was temporarily unavailable during this pass, so verify the applicant guide before applying.","2026-07-08 14:00:00Z","2026-07-08 14:00:00Z"
"Next Wave: Breakthrough Wave 1","Innovate UK","UK state / UK SME route","2026-08-11","open",9,"uk, innovate uk, sme, createch, industrial research, grant, deadline","https://apply-for-innovation-funding.service.gov.uk/competition/search","UK Innovate UK competition with up to GBP 10 million for industrial research projects in industrial-strategy-aligned Createch innovation. This is a UK registered SME route: a UK SME must lead and claim grant funding, either alone or in collaboration. Relevant only through a UK entity or UK SME partner.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"Consumer Led Flexibility for the Clean Energy Superpower Mission","Innovate UK","UK state / UK entity route","2026-08-26","open",9,"uk, innovate uk, clean energy, pre-commercialisation, business, grant, deadline","https://apply-for-innovation-funding.service.gov.uk/competition/search","UKRI/Innovate UK competition with up to GBP 25 million for pre-commercialisation clean-energy flexibility projects. A UK registered organisation must lead or apply alone. Useful as a partner route for energy software, demand response, consumer flexibility, grid edge, IoT, smart home or AI optimisation projects.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"EIT Urban Mobility Financial Support to Startups Open Call 2026","EIT Urban Mobility","EIT Urban Mobility startup finance","2026-08-31","open",12,"eit urban mobility, financial support to startups, mobility, ai, data, electrification, funding, startup","https://www.eit.europa.eu/our-activities/opportunities/financial-support-startups-open-call-2026","Open EIT Urban Mobility call providing financial support of up to EUR 2.5M per company for startups developing breakthrough urban mobility solutions. Focus sectors include urban logistics, shared mobility and public transport, mobility data management, electrification/alternative fuels, and health and mobility. Open to legal entities established in EU Member States and/or Horizon Europe associated countries. Applicants must be in an active fundraising round, have a prototype/pilot/MVP, founders/executive team holding more than 40% pre-round equity and valuation not above EUR 50M. Future 2026 cut-offs: 31 August and 16 November.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"FS4Africa Open Call 2","OpenCalls.fund / Reframe Food","EU cascade funding","2026-08-31","open",11,"agrifood, cascade funding, fstp, innovation hub, mentoring, sme potential, startups","https://opencalls.fund/open-call/fs4africa-oc-2","EU-funded FSTP call supporting five innovation-hub projects to train, mentor and accelerate innovative food business concepts linked to African or European food entrepreneurs and startups. Potentially relevant for Serbian food/agri innovation hubs with appropriate partners; eligibility should be checked in the official applicants guide.","2026-07-08 10:00:00Z","2026-07-08 10:00:00Z"
"NEB Academy Fashion Shift","EIT Culture & Creativity / NEB Academy","EIT creative and New European Bauhaus grant","2026-08-31","open",9,"neb academy, fashion shift, circular fashion, creative industries, sustainability, grant, digital product passport","https://www.eit.europa.eu/our-activities/opportunities/neb-academy-fashion-shift","Open EIT Culture & Creativity / NEB Academy call for collaborative teams scaling circular, regenerative and responsible fashion business models. Total call is EUR 2.5M, funding five teams with up to EUR 500,000 per project and 100% reimbursement of eligible costs. Relevant if we can position technology around supply-chain transparency, circular fashion, repair/resale/rental platforms, digital product passports, training or NGO/community dissemination.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"NEB Academy Skills Infrastructure","EIT Culture & Creativity / NEB Academy","EIT creative, skills and New European Bauhaus grant","2026-08-31","open",9,"neb academy, skills infrastructure, built environment, sustainability, training, microcredentials, grant","https://www.eit.europa.eu/our-activities/opportunities/neb-academy-skills-infrastructure","Open EIT Culture & Creativity / NEB Academy call for cross-sector consortia building lifelong-learning programmes for the lived environment. Total call is EUR 3.5M, with five or six trans-regional collaborations and up to EUR 600,000 per project. Relevant for NGO/training/dissemination role, digital learning platforms, built environment, sustainability, design, public bodies and professional upskilling.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"EIC Accelerator 2026","European Innovation Council","EU central","2026-09-02","open",14,"call, deadline, funding, grant, horizon europe, open, scale-up, sme, startup","https://eic.ec.europa.eu/eic-funding-opportunities/calls-proposals/eic-accelerator-2026_en","Open EIC call for commercialisation and scale-up. Relevant for innovative SMEs and startups from Horizon Europe eligible countries, with multiple 2026 cut-off dates. Next future cut-offs after 8 July 2026: 2 September 2026 and 4 November 2026.","2026-07-07 22:14:57Z","2026-07-07 22:14:57Z"
"UK-Switzerland CR&D Round 3","Innovate UK / Innosuisse","UK-Switzerland bilateral innovation","2026-09-03","open",8,"uk, switzerland, innosuisse, collaborative r&d, sme, grant, deadline","https://apply-for-innovation-funding.service.gov.uk/competition/search","Bilateral collaborative R&D route for UK and Swiss collaborations, with UK registered businesses applying for a share of up to GBP 3 million and collaborating with a Swiss implementation partner under Innosuisse. Not directly open to Serbia, Malta or Slovenia as lead, but useful if a UK-Swiss consortium needs our technology as a partner or subcontractor.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"SPIN: Rise 2026 deep-tech venture creation","EIT / 28DIGITAL","EIT deep-tech researcher venture creation","2026-09-05","open",7,"spin rise, 28digital, deep tech, researcher, venture creation, university, horizon europe","https://www.eit.europa.eu/our-activities/opportunities/spin-rise-0","Open EIT/28DIGITAL venture-creation and pre-incubation programme for deep-tech researchers, PhD candidates and postdocs affiliated with universities or research organisations in the EU or Horizon Europe associated countries. Participation is free and accommodation during the bootcamp is covered, but travel is not. Not a cash grant for the company, but useful if we have a university/research partner or want to commercialise IP into a startup route.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"The DeepTechers Copenhagen 2026 ecosystem programme","EIT Global Outreach / The DeepTechers","EIT deep-tech ecosystem programme","2026-09-07","open",6,"eit global outreach, deeptechers, deep tech, ecosystem, horizon europe consortia, scholarship","https://www.go-eit.eu/the-deeptechers/","EIT Global Outreach programme in Copenhagen, 2-4 November 2026, co-led by Israel Innovation Authority, Innovation Centre Denmark and AWS. It is not a direct SME grant; it is a fully subsidised deep-tech collaboration/training programme for senior ecosystem professionals, with limited travel and accommodation scholarships up to EUR 750. Useful for finding Horizon Europe consortia, EIT partners, BII/DTU links and deep-tech funding pathways.","2026-07-10 10:00:00Z","2026-07-10 10:00:00Z"
"28DIGITAL Co-Creation Accelerator 2026-2027","EIT / 28DIGITAL","EIT digital startup grant / industry co-creation","2026-09-08","open",13,"28digital, co-creation accelerator, eit, digital startup, grant, sme, prototype, industry partner","https://www.eit.europa.eu/our-activities/opportunities/co-creation-accelerator-2026-2027","Open EIT/28DIGITAL call for early-stage digital startups to co-develop solutions with industry partners. Financial support is up to EUR 250,000 with no co-funding required. Eligible applicants must be micro or small enterprises incorporated and operating in an EU or Horizon Europe associated country, TRL 4 or above, incorporated within the last five years, with at least two FTEs and control over key IP/technology assets. Strong route for Malta, Slovenia or Serbia company if we have a prototype and industry challenge partner.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"EIT Urban Mobility RIS Education Open Call 2027","EIT Urban Mobility","EIT mobility RIS education and training grant","2026-09-08","open",8,"eit urban mobility, ris education, training, skills, sme, startup, city, grant","https://www.eit.europa.eu/our-activities/opportunities/ris-education-open-call-2027","Open call supporting education, training and capacity building in urban mobility and entrepreneurship in RIS countries. Total indicative EIT funding is about EUR 2.6M. Project caps include EUR 300,000 for RISE1/RISE2, EUR 180,000 for RISE3, EUR 140,000 for RISE4 and EUR 70,000 for RISE5. Open to legal entities in EU Member States and Horizon Europe associated countries, including SMEs, startups, universities, research organisations and cities. Good NGO/IT dissemination and training route if we build a mobility skills consortium.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"EIC STEP Scale Up","European Innovation Council","EU central","2026-09-09","open",13,"call, deadline, funding, investment, open, scale-up, sme, startup","https://eic.ec.europa.eu/eic-funding-opportunities/calls-proposals/eic-step-scale_en","Open EIC STEP Scale Up call for equity investments to catalyse larger investment rounds of EUR 50 million or above. Relevant to deep-tech scale-ups and SMEs preparing large funding rounds. Future 2026 cut-offs: 9 September 2026 and 25 November 2026.","2026-07-07 22:14:57Z","2026-07-07 22:14:57Z"
"Eurostars Call 11 for Slovenia-based SMEs","Eureka / Slovenia","EU co-funded / Slovenia-based SME","2026-09-10","open",19,"eu co-funded, eurostars, eureka, international r&d, slovenia, sme, consortium, malta potential, serbia potential","https://www.eurekanetwork.org/programmes-and-calls/eurostars/","Eurostars is an EU co-funded international R&D programme for innovative SME-led consortia. Slovenia is a Eureka member route, so a Slovenian SME can be used as lead or partner where national funding rules are met. Call 11 closes on 10 September 2026 at 14:00 CEST. Good route for a Slovenia-Malta-Serbia or Slovenia-EU R&D consortium.","2026-07-08 15:00:00Z","2026-07-08 15:00:00Z"
"Eurostars Call 11 for Malta-based SMEs","Malta Enterprise / Eureka Network","EU co-funded / Malta-based SME","2026-09-10","open",19,"eu co-funded, eurostars, eureka, horizon europe, international r&d, malta, sme, serbia potential","https://www.eurekanetwork.org/programmes-and-calls/eurostars/","Eurostars is an EU co-funded international R&D programme for innovative SME-led consortia. Malta Enterprise confirms that Malta-based participants may apply and that Eurostars Call 11 opens on 9 July 2026 and closes on 10 September 2026 at 14:00 CEST. Good route for a Maltese SME partnering internationally, including potentially with Serbian partners where programme rules and national funding permit.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"EIT Health Innovation Uptake Call","EIT Health","EIT Health digital health commercialisation","2026-09-16","open",12,"eit health, innovation uptake, digital health, ai, data-driven, sme lead, consortium, grant","https://www.eit.europa.eu/our-activities/opportunities/innovation-uptake-call","Open EIT Health call for mature digital, data-driven or AI-powered healthcare solutions ready to scale across European markets. Consortia must include at least two independent legal entities from different countries and at least two sides of the Knowledge Triangle. Led by a Commercialising Entity, usually SME or industry player. Total call budget up to EUR 5.2M, up to eight projects, maximum funding per project EUR 650,000; SMEs leading projects receive EUR 400,000-500,000 within the grant. Co-funding required.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"EIC Transition 2026","European Innovation Council","EU central","2026-09-16","open",12,"call, deadline, grant, horizon europe, sme, startup, transition","https://eic.ec.europa.eu/eic-funding-opportunities/eic-transition_en","EIC Transition supports technology and business maturation and validation, with grants up to EUR 2.5 million. SMEs, startups, spin-offs, universities and research organisations can apply as single applicants or in small consortia, subject to eligible prior project results.","2026-07-07 22:14:57Z","2026-07-07 22:14:57Z"
"EIT Health Transformative Healthcare Instrument 2026","EIT Health","EIT Health startup growth funding","2026-09-16","open",10,"eit health, transformative healthcare instrument, digital health, medtech, biotech, ai, grant, co-funding","https://www.eit.europa.eu/our-activities/opportunities/transformative-healthcare-instrument-2026","Open EIT Health call for high-potential European healthcare SMEs in biotech, medtech, digital health, AI, biomarkers or diagnostics. Funding request can be EUR 300,000-500,000 and EIT Health funds up to 50% of total project costs. High eligibility bar: private SME with at least four FTEs and at least EUR 2M equity investment closed in the previous 36 months, plus required innovation maturity level by sector.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"EIT Health Entrepreneurship & Innovation Micro-Credentials Call","EIT Health","EIT Health education and micro-credentials grant","2026-09-16","open",7,"eit health, micro-credentials, entrepreneurship, innovation, health education, training, grant","https://www.eit.europa.eu/our-activities/opportunities/entrepreneurship-innovation-micro-credentials-call","Open EIT Health call for consortia to develop EIT Label-certified micro-credentials for advanced Master's students and PhD candidates in life sciences, medical technologies, biotechnology and related fields. Open to EIT Health members and non-members, with special interest for universities, incubators, accelerators, business schools, industry and startups. Funding is up to EUR 150,000 in 2027 and up to EUR 60,000 in 2028. Relevant for NGO/IT support, learning platform, curriculum and dissemination roles if a health education partner leads.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"EIT Health Biotech Innovation Path Call","EIT Health","EIT Health biotech education grant","2026-09-16","open",6,"eit health, biotech innovation path, education, higher education, ris, grant, curriculum","https://www.eit.europa.eu/our-activities/opportunities/biotech-innovation-path-call","Open EIT Health call to develop a new EIT Label-certified Biotech pathway within the Certified Innovation Path portfolio. Consortia need at least two higher education institutions in two eligible Member States, including at least one HEI in an EIT RIS region, and active non-academic or industry involvement. Funding up to EUR 240,000 per awarded project. Relevant only through university/education/health partners, but possible NGO/IT role for learning delivery, dissemination, platform support or industry challenge work.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"RIVCircular Cascade Funding Open Call","RIVCircular / EIT Digital","EU cascade funding / circular economy","2026-09-17","open",15,"cascade funding, circular economy, consortium, digital solutions, eu-funded, grant, partner route, sme","https://www.rivcircular.eu/call/","Cascade funding call supporting circular-economy innovation in five topics: construction and demolition waste, circular energy integration, EV battery recycling and reuse, circular textiles, and digital solutions for circular economy. Funding can reach up to EUR 600,000. The call requires a consortium and focuses on seven participating regions, so Serbian/Maltese companies should use this mainly through an eligible regional partner.","2026-07-08 14:00:00Z","2026-07-08 14:00:00Z"
"CBE JU 2026 call for project proposals","Circular Bio-based Europe JU","EU bio-based industry R&D","2026-09-22","open",10,"cbe ju, circular bio-based, bioeconomy, biorefinery, materials, packaging, textiles, consortium","https://www.cbe.europa.eu/open-calls-proposals","Open Circular Bio-based Europe JU 2026 call under Horizon Europe rules. Call identifier HORIZON-JU-CBE-2026, launched 23 April 2026, deadline 22 September 2026 at 17:00 CET, call budget EUR 170.7M. Topics include biotech for biorefineries, safe-and-sustainable bio-based crop/fertilising alternatives, home/personal care bio-based solutions, nutritional food ingredient resilience, residual biomass valorisation, bio-based additives, woody-residue chemicals/materials, circular bio-based thermosets, films/coatings for circular packaging, sustainable bio-based textile fibres and industry support for circular bio-based switching. Strong consortium route for Malta/Slovenia SME or Serbian partner if we have bioeconomy/materials/agrifood/circular industry partners.","2026-07-11 10:30:00Z","2026-07-11 10:30:00Z"
"Urban Mobility Explained UMX Open Call","EIT Urban Mobility","EIT mobility education and training grant","2026-09-29","open",8,"urban mobility explained, umx open call, training, skills, mobility, sme, city, grant","https://www.eit.europa.eu/our-activities/opportunities/urban-mobility-explained-umx-open-call-0","Open EIT Urban Mobility call for high-quality sustainable professional training and support services to close the urban mobility knowledge gap. Total indicative EIT funding is about EUR 2M-4M, with maximum EIT funding per proposal EUR 700,000. Open to SMEs, universities, RTOs, cities, large businesses and other legal entities in EU Member States and Horizon Europe associated countries. Strong route for a training platform, NGO dissemination, city partner and mobility education consortium.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"Malta Enterprise - Research & Development","Malta Enterprise","Malta national / R&D support","2026-09-30","open",17,"malta, malta enterprise, r&d, research and development, eurostars, eureka, grant, tax credit, sme","https://maltaenterprise.com/researchanddevelopment","Support for industry undertaking industrial research and experimental development activities. Aid can be cash grants and tax credits, calculated by project type and company size. Collaborative R&D and EUREKA/Eurostars endorsed projects may also be considered under this incentive for Malta-based companies.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"Malta Enterprise - Start-up Finance","Malta Enterprise","Malta national / SME support","2026-09-30","open",16,"malta, malta enterprise, sme, startup, software development, life sciences, repayable advance","https://maltaenterprise.com/StartupFinance","Malta-based small start-up undertaking support through repayable advance for viable businesses in manufacturing, software development, industrial services, health, biotechnology, pharmaceuticals, life sciences and other innovative technology-enabled activities. Useful for a Maltese company that is developing or expanding a new operation in Malta.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"Enhancing resilience to wildfires in the wildland-urban interface","UKRI / NSF / Canada Tri-Agency","UK-USA-Canada research consortium route","2026-10-01","open",7,"uk, usa, canada, nsf, research consortium, wildfire resilience, grant","https://www.ukri.org/opportunity/","UKRI funding finder lists an open collaborative research opportunity with partners from the US, Canada or both, co-funded by NSF, NSERC, SSHRC and CIHR. Lead must be a UK research organisation eligible for UKRI funding, so this is a partner/intelligence route rather than a direct SME grant. Possible fit only if technology supports wildfire resilience, sensors, AI, climate risk or emergency response through a UK/US/Canada research consortium.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"KAVA Call 14 Upscaling","EIT RawMaterials","EIT raw and advanced materials consortium grant","2026-10-16","open",9,"kava, eit rawmaterials, raw materials, advanced materials, scaling, consortium, co-funding, grant","https://www.eit.europa.eu/our-activities/opportunities/kic-added-value-activity-kava-call-14-upscaling","Open EIT RawMaterials KAVA call for validated technologies, materials or products in raw or advanced materials that need testing, demonstration, proof of concept or scaling before market readiness. Consortia need at least two partners from different Horizon Europe eligible countries, at least two knowledge-triangle sides, and at least one EIT RawMaterials Core or Associate Partner; non-members must commit to membership if selected. Funding is EUR 500,000-2.5M per project, duration up to 2.5 years, with minimum 50% co-funding and financial sustainability plan.","2026-07-11 08:30:00Z","2026-07-11 08:30:00Z"
"Circular solutions for communities in Serbia","UNDP Serbia / Ministry of Environmental Protection / GEF","Serbia circular economy local grants","2026-10-20","open",10,"serbia, undp serbia, gef, circular solutions, circular economy, business entities, ngo, consortium, local communities","https://eumogucnosti.rs/svi-dogadjaji/imate-ideju-za-cirkularnu-ekonomiju-saznajte-kako-da-konkurisete-za-finansijsku-podrsku/","Open public call implemented by UNDP and Serbia's Ministry of Environmental Protection with GEF support. Eligible applicants include local self-governments, public utilities, business entities, research and education institutions, citizens associations, professional associations and foundations, alone or in consortium. It supports local circular economy solutions such as reuse, repair, waste and food-waste reduction, circular public services, public-space solutions and renewables for public good. Support is up to USD 40,000 per selected solution, with total budget USD 180,000. Applications are open until 20 October 2026, reviewed successively, and the call can close earlier if funds are spent.","2026-07-11 11:00:00Z","2026-07-11 11:00:00Z"
"EIC Pathfinder Challenges 2026","European Innovation Council","EU central","2026-10-28","open",10,"call, deadline, deep tech, grant, horizon europe, sme","https://eic.ec.europa.eu/eic-funding-opportunities/eic-pathfinder_en","EIC Pathfinder Challenges support breakthrough deep-tech projects with grants and business acceleration support. SMEs may participate where the consortium and eligibility rules are met. The 2026 Challenges deadline is 28 October 2026.","2026-07-07 22:14:57Z","2026-07-07 22:14:57Z"
"Malta Enterprise - Innovate: Innovation Aid for SMEs","Malta Enterprise","Malta national / SME innovation","2026-10-30","open",18,"grant, innovation, malta, malta enterprise, research collaboration, sme","https://maltaenterprise.com/support/innovate","Innovation aid for SMEs with scope for growth. Supports product, process and organisational innovation through collaboration with research and knowledge-dissemination organisations, highly qualified personnel, innovation advisory services and support services. Grant covers up to 50% of costs, capped at EUR 250,000.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"Malta Enterprise - Business Start","Malta Enterprise","Malta national / SME support","2026-10-30","open",15,"business start, grant, malta, malta enterprise, seed funding, sme, startup","https://maltaenterprise.com/bstart","Early seed funding for small start-ups with an economically feasible business concept. Eligible activities include manufacturing, software development, industrial services, health, biotechnology, pharmaceuticals, life sciences and other innovative technology-enabled activities. Grant of up to EUR 10,000.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"Malta Enterprise - Smart & Sustainable Investment Grant","Malta Enterprise","Malta national / green and digital investment","2026-12-18","open",17,"cash grant, digitisation, energy efficiency, green, malta, malta enterprise, sme, sustainable investment","https://maltaenterprise.com/SmartandSustainableInvestment","Cash grant for Malta-based businesses investing at least EUR 10,000 in sustainability, improved environmental performance or digitisation leading to growth potential. Eligible areas include waste minimisation, sustainable materials, energy efficiency, water efficiency and sustainable digitisation. Grant covers 50% of eligible expenditure up to EUR 100,000 per project.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"OFELIA Open Call","OpenCalls.fund / Reframe Food","EU cascade funding","2027-02-10","upcoming",13,"cascade funding, functional foods, medicinal aromatic plants, sme, upcoming","https://opencalls.fund/open-call/ofelia","Upcoming EU-funded FSTP call for SMEs in functional foods and medicinal/aromatic plants value chains, with a focus on less developed regions across Europe. The call will support small, regionally based consortia and fund 16 sub-projects. Potentially relevant for Serbian SMEs in food, functional ingredients and medicinal/aromatic plants, subject to eligibility confirmation.","2026-07-08 10:00:00Z","2026-07-08 10:00:00Z"
"Women TechEU 2 EIC - Eligibility Strand","Women TechEU","EU / EIC deep-tech grant","2027-07-13","open",20,"deep tech, eic, eu grant, malta, non-dilutive, serbia, sme, startup, women-led","https://womentecheurope.eu/active-calls/","EU-funded programme for women-led early-stage deep-tech startups from Europe. Selected startups receive EUR 75,000 in non-dilutive funding plus mentoring, coaching and training. Eligible countries explicitly include Malta and Serbia. The first step is the Eligibility Strand, with weekly cut-offs every Tuesday at 17:00 CE(S)T until the final cut-off on 13 July 2027.","2026-07-08 14:00:00Z","2026-07-08 14:00:00Z"
"EIC Pre-Accelerator 2027","European Innovation Council","EU central","2027-11-18","upcoming",15,"associated countries, call, deep tech, grant, opening, serbia, sme, startup, widening countries","https://eic.ec.europa.eu/eic-funding-opportunities/eic-pre-accelerator_en","Upcoming EIC Pre-Accelerator call for early-stage deep-tech SMEs and small mid-caps from widening countries. Serbia is listed among eligible associated countries. The call opens on 5 May 2027 and deadline is 18 November 2027.","2026-07-07 22:14:57Z","2026-07-07 22:14:57Z"
"Malta Enterprise - Accelerate 2024","Malta Enterprise","Malta national / startup acceleration","2030-10-31","open",14,"accelerator, eea, grant, malta, malta enterprise, sme, startup","https://maltaenterprise.com/accelerate2024","Support for undertakings in their first 7 years to finance participation in accelerator programmes recognised by Malta Enterprise. Eligible businesses must be registered in the EEA and engaged or planning to engage in areas such as manufacturing, software development, industrial services, life sciences, engineering design, space technologies or other approved technology-enabled activities. Grant up to EUR 100,000.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"Malta Enterprise - Micro Invest 2026-2030","Malta Enterprise","Malta national / tax credit","2030-12-31","upcoming",12,"malta, micro invest, sme, tax credit, upcoming","https://maltaenterprise.com/node/1917","Tax-credit scheme for small undertakings in Malta employing at least one and not more than 50 employees. Supports wage costs and new tangible assets, with aid intensity up to 65%, or up to 85% for Gozo. Applications for this measure may be submitted from 1 January 2027, up to one application per year.","2026-07-08 12:00:00Z","2026-07-08 12:00:00Z"
"USAID Development Innovation Ventures (DIV)","USAID","USA state / global innovation grant","","rolling",15,"usaid, usa, state grant, development innovation ventures, innovation, grant, sme potential, rolling","https://www.usaid.gov/div","Open innovation grant route for evidence-based solutions with development impact. Relevant where the Serbian or Maltese company has a product that can show impact in eligible developing-country contexts. DIV is not Serbia-specific and is usually assessed by stage, evidence and cost-effectiveness, so treat as a high-potential but competitive route.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
